Epoch 78 - Train Loss: 1.4553 (enthalpy: 0.8859, entropy: 0.0302, affinity: 0.0349, rank: 0.5043) | Validation Loss: 0.9138 (enthalpy: 0.0410, entropy: 0.0275, affinity: 0.1023, rank: 0.7431) | LR: 3.1e-06
Epoch 79 - Train Loss: 1.4194 (enthalpy: 0.9206, entropy: 0.0336, affinity: 0.0313, rank: 0.4338) | Validation Loss: 0.9149 (enthalpy: 0.0410, entropy: 0.0274, affinity: 0.1022, rank: 0.7443) | LR: 1.6e-06
Epoch 80 - Train Loss: 1.3130 (enthalpy: 0.8108, entropy: 0.0323, affinity: 0.0487, rank: 0.4212) | Validation Loss: 0.9228 (enthalpy: 0.0410, entropy: 0.0273, affinity: 0.1027, rank: 0.7517) | LR: 1.6e-06
Epoch 81 - Train Loss: 1.4312 (enthalpy: 0.9313, entropy: 0.0317, affinity: 0.0265, rank: 0.4417) | Validation Loss: 0.9207 (enthalpy: 0.0410, entropy: 0.0270, affinity: 0.1028, rank: 0.7499) | LR: 1.6e-06
Epoch 82 - Train Loss: 1.3602 (enthalpy: 0.8251, entropy: 0.0279, affinity: 0.0330, rank: 0.4742) | Validation Loss: 0.9099 (enthalpy: 0.0410, entropy: 0.0264, affinity: 0.1028, rank: 0.7398) | LR: 1.6e-06
Epoch 83 - Train Loss: 21.8325 (enthalpy: 21.3018, entropy: 0.0316, affinity: 0.0263, rank: 0.4728) | Validation Loss: 0.9143 (enthalpy: 0.0410, entropy: 0.0267, affinity: 0.1026, rank: 0.7440) | LR: 1.6e-06
Epoch 84 - Train Loss: 1.4334 (enthalpy: 0.9315, entropy: 0.0295, affinity: 0.0280, rank: 0.4445) | Validation Loss: 0.9093 (enthalpy: 0.0410, entropy: 0.0270, affinity: 0.1024, rank: 0.7390) | LR: 1.6e-06
Epoch 85 - Train Loss: 1.3438 (enthalpy: 0.8431, entropy: 0.0300, affinity: 0.0300, rank: 0.4407) | Validation Loss: 0.9079 (enthalpy: 0.0410, entropy: 0.0266, affinity: 0.1025, rank: 0.7377) | LR: 1.6e-06
Epoch 86 - Train Loss: 1.1748 (enthalpy: 0.6544, entropy: 0.0315, affinity: 0.0265, rank: 0.4624) | Validation Loss: 0.9177 (enthalpy: 0.0410, entropy: 0.0268, affinity: 0.1026, rank: 0.7472) | LR: 1.6e-06
Epoch 87 - Train Loss: 2.2644 (enthalpy: 1.7045, entropy: 0.0325, affinity: 0.0308, rank: 0.4967) | Validation Loss: 0.9190 (enthalpy: 0.0410, entropy: 0.0271, affinity: 0.1026, rank: 0.7483) | LR: 1.6e-06
Epoch 88 - Train Loss: 1.4638 (enthalpy: 0.9685, entropy: 0.0293, affinity: 0.0226, rank: 0.4434) | Validation Loss: 0.9080 (enthalpy: 0.0409, entropy: 0.0269, affinity: 0.1021, rank: 0.7380) | LR: 1.6e-06
Epoch 89 - Train Loss: 1.3444 (enthalpy: 0.8211, entropy: 0.0303, affinity: 0.0335, rank: 0.4595) | Validation Loss: 0.9113 (enthalpy: 0.0409, entropy: 0.0275, affinity: 0.1017, rank: 0.7412) | LR: 1.6e-06
